id,username,created_at,lng,lat,text
1517386469937188865,pointhacks,Fri Apr 22 06:15:00 +0000 2022,136.0151665,-26.441329,"In our latest Point Hacks exclusive interview, we catch up with @etihad Vice President Kim Hardaker to talk points,… https://t.co/qQejd3dQh8"
1517386508268830720,LizDolphinfluff,Fri Apr 22 06:15:09 +0000 2022,149.1297825,-35.3139795,Everyone's seen this TikTok of the dog breeds reacting to a robber right? RIGHT?My faves are the Golden Retriever… https://t.co/gHECu5e8FL
1517386531195207680,dropbear2_0,Fri Apr 22 06:15:15 +0000 2022,150.931975,-33.848244,Bizzare that @ljayes hasn’t deleted her completely wrong tweet even when she’s been provided with the evidence that… https://t.co/z48JfBdCvN
1517386539567054849,MelbunMan,Fri Apr 22 06:15:17 +0000 2022,145.4691805,-36.569808,"@i_like_birds_x And then Murdoch took Foxtel offshore to Delaware, USA where there is little corporate transparency. Rogues."
1517386544809938946,aquilaaudax2620,Fri Apr 22 06:15:18 +0000 2022,150.054347,-32.83104,"AFL ""A New Era in Footy Collectables"" NFT - what a waste of money 💰"
1517386592205168640,alexmillier,Fri Apr 22 06:15:29 +0000 2022,115.9283185,-32.1501005,The “culture” in WA since I arrived here from SA in 1996 has ALWAYS been car-centric. Pedestrians and cyclists and… https://t.co/6AKv1neW7R
1517386654528720896,lyng62,Fri Apr 22 06:15:44 +0000 2022,150.931975,-33.848244,@SharksRcb Doesn’t seem a sensible choice does it !!!
1517386657624117248,drraghnall,Fri Apr 22 06:15:45 +0000 2022,145.0531355,-37.9725665,"@JoashParker @Egrange2080 @severs_jeanette Of course it’s not typical. As you would know, it’s called a visual climb over airport or VCOA."
1517386673218228224,Magusrex3,Fri Apr 22 06:15:49 +0000 2022,145.4691805,-36.569808,@debjw88 @rday_day Agree 💯👍
1517386688607121409,DrGCrisp,Fri Apr 22 06:15:52 +0000 2022,115.9283185,-32.1501005,@hindmarshisking No they didn't. But I think killing several million people each year with air pollution and contr… https://t.co/IFthf4Kcc5
1517386770744180736,DarrachG,Fri Apr 22 06:16:12 +0000 2022,150.931975,-33.848244,@WrittenPaige Thank you.I just appreciate lovely writing ❤️🙏🕊️🦋✨✨✨
1517386806005624832,benjamindwill,Fri Apr 22 06:16:20 +0000 2022,138.61115999999998,-35.000766999999996,@adrianjackson @_corycasual @mlindsay_mark @melbournedean @mbird12 @j_lindsay2410 @FrenchProfessor @ABFreier What a… https://t.co/MCwERkmTYT
